English Term,English Def.,Arabic Term,Arabic Def.,French Term,French Def.,Refined  English Def.,Refined French Def.
Layer,A group of neurons in a neural network that processes the input features or the output of those neurons.,طبقة,مجموعة من الخلايا العصبية في شبكة عصبية ما، تعالج خصائص المُدْخَلات أو مخرجات تلك الخلايا العصبية.,Couche,Groupe de neurones d’un réseau neuronal qui traite les caractéristiques d’entrée ou les sorties des couches précédentes.,,
Layer Width,The number of neurons in a specific neural network layer.,عرض الطبقة,عدد الخلايا العصبية في طبقة معينة من الشبكة العصبية.,Largeur de couche,Nombre de neurones présents dans une couche spécifique d’un réseau neuronal.,,
LayerNorm Tuning,A fine-tuning technique that only updates the normalization layers of a model.,ضبط طبقات التسوية,أسلوب ضبط دقيق يقتصر تحديثه على طبقات التسوية في النموذج.,Ajustement des couches de normalisation ,Technique d’ajustement fin consistant à mettre à jour uniquement les couches de normalisation d’un modèle.,,
Lazy Learning,A learning method that defers the processing of training data until receiving a query.,تعلُّم كسول,طريقة تعلُّم تؤجل معالجة بيانات التدريب حتى تَلقِّي عملية استعلام.,Apprentissage paresseux ,Méthode d’apprentissage différant le traitement des données d’entraînement jusqu’à la réception d’une requête.,,
Leaky ReLU Function,"An activation function that allows a small, non-zero gradient for negative input values.",دالة ريلو المتسربة,دالة تنشيط تسمح بتدرُّج صغير غير صفري لقيم المُدْخَلات السالبة.,ReLU à fuite ,Fonction d’activation autorisant un petit gradient non nul pour les valeurs d’entrée négatives.,,
Learning Rate,"A hyperparameter used in optimization algorithms to define the step size at each iteration. Also called ""Step Size.""",معدل التعلُّم,"مُعامِل ضبط يُستخدم في خوارزميات التحسين لتحديد حجم الخطوة في كل تكرار. ويُطلق عليه أيضًا ""حجم الخطوة"".",Taux d’apprentissage,"Hyperparamètre utilisé dans les algorithmes d’optimisation pour définir la taille du pas de mise à jour à chaque itération. Aussi appelé "" pas d’apprentissage "".",,
Learning Theory,See “Computational Learning Theory.”,نظرية التعلُّم,"انظر ""نظرية التعلُّم الحوسبي"".",Théorie de l’apprentissage,"Voir "" Théorie de l’apprentissage computationnel "".",,
Least Square Error (LSE),A method to find the best fit of the data to minimize the square of errors between the actual data and the fitted line.,خطأ تربيعي أقل,طريقة للعثور على أفضل ملاءمة للبيانات لتقليل مربع الأخطاء بين البيانات الفعلية وخط الملاءمة.,Erreur quadratique minimale ,Méthode visant à minimiser la somme des carrés des écarts entre les données observées et la ligne ajustée.,,
Least Squares Regression,A linear regression trained by reducing the L2 loss.,انحدار المربعات الصغرى,انحدار خطي مُدرَّب، عن طريق تقليل دالة خسارة إل 2.,Régression aux moindres carrés,Régression linéaire entraînée en minimisant la perte L2,,
Leave-One-Out Cross-Validation (LOOCV),A special case of K-Fold Cross-Validation where the number of folds equals the number of observations.,تحقق تقاطعي عن طريق عزل نقطة,حالة خاصة من التحقق التقاطعي المُجَزَّأ يكون فيها عدد المجموعات مساويًا لعدد المشاهدات.,Validation croisée par exclusion unique ,Cas particulier de la validation croisée en K plis où le nombre de plis est égal au nombre d’observations.,,
Lemmatization,The process of reducing words to their base form found in the dictionary.,تجريد,عملية إعادة الكلمات إلى شكلها الأساسي الموجود في القاموس.,Lemmatisation,Processus de réduction des mots à leur forme de base telle qu’elle figure dans le dictionnaire.,,
Likelihood,A probability of an occurrence within a specific category or class.,أرجحية,احتمال حدوث حدث ما ضمن فئة أو صنف معين.,Vraisemblance,Probabilité d’observer un événement ou une donnée au sein d’une catégorie ou classe spécifique.,,
Linear Algebra,A branch of mathematics that allows the manipulation of linear equations.,جبر خطي,فرع من فروع الرياضيات يختص بمعالجة المعادلات الخطية.,Algèbre linéaire,Branche des mathématiques dédiée à la manipulation d’équations et d’opérations linéaires.,,
Linear Model,A way to describe a response variable as a linear combination of predictor variables.,نموذج خطي,طريقة لوصف متغير الاستجابة كمجموعة خطية من متغيرات التنبؤ.,Modèle linéaire,Méthode décrivant une variable de réponse comme une combinaison linéaire de variables prédictives.,,
Linear Regression,A type of statistical analysis that shows the relationship among multiple variables to create a predictive model and illustrate trends in data.,انحدار خطي,نوع من التحليل الإحصائي يوضح العلاقة بين عدة متغيرات لإنشاء نموذج تنبؤي وتوضيح الاتجاهات في البيانات.,Régression linéaire,Analyse statistique montrant la relation entre plusieurs variables afin de construire un modèle prédictif et visualiser les tendances.,,
Locally Weighted Regression (LWR),A non-parametric technique that performs regression around a point of interest using local training data.,انحدار موزون محليًّا,أسلوب غير مُعامِلي ينفذ الانحدار حول نقطة معينة باستخدام بيانات تدريب محلية.,Régression localement pondérée ,Technique non paramétrique de régression locale qui ajuste un modèle autour d’un point d’intérêt en pondérant les données d’entraînement selon leur proximité.,,
Location Data,The data related to the geographical position of a device or other asset.,بيانات الموقع,البيانات المتعلقة بالموقع الجغرافي لجهاز ما أو أصل آخر.,Données de localisation,Données associées à la position géographique d’un appareil ou d’un actif.,,
Log File,"A computer-generated file that contains a record of all activities within a server, operating system, or application.",ملف سجل,ملف مُولَّد بواسطة الحاسب يشتمل على سجل لجميع الأنشطة داخل خادم أو نظام تشغيل أو تطبيق.,Fichier journal ,"Fichier généré par un ordinateur contenant l’historique des activités d’un serveur, d’un système d’exploitation ou d’une application.",,
Log Loss,"A performance metric used to evaluate the classification models by quantifying the difference between predicted probabilities and actual labels. Also called ""Cross-Entropy Loss.""",خسارة لوغاريثمية,"مقياس أداء يُستخدم لتقييم نماذج التصنيف، عن طريق تحديد الفرق بين الاحتمالات المتوقعة والأسماء الفعلية. ويُطلق عليه أيضًا ""خسارة الإنتروبيا التقاطعية"".",Perte logarithmique,"Métrique d’évaluation des modèles de classification quantifiant la différence entre les probabilités prédites et les étiquettes réelles. Aussi appelée "" perte d’entropie croisée "".",,
Log Odds,The logarithm of odds for an event.,احتمالات لوغاريثمية,لوغاريثم احتمالات لحدث ما.,Log-cotes  ou logarithme des cotes,Logarithme des cotes pour un événement donné.,,
Logic Programming,A type of programming approach where the execution is based on formal logic statements.,برمجة منطقية,إحدى طُرُق البرمجة التي يعتمد التنفيذ فيها على قواعد المنطق.,Programmation logique,Approche de programmation dans laquelle l’exécution repose sur des déclarations logiques formelles.,,
Logistic Regression,"A statistical model that uses a logistic function to convert a linear model's prediction into a value between 0 and 1. Also called ""Logit Model.""",انحدار لوجستي,"نموذج إحصائي يستخدم دالة لوجستية لتحويل تنبؤ النموذج الخطي إلى قيمة بين 0 و 1. ويُطلق عليه أيضًا ""نموذج لوجيت"".",Régression logistique,"Modèle statistique utilisant une fonction logistique pour convertir une prédiction linéaire en une valeur comprise entre 0 et 1. Aussi appelée "" modèle Logit "".",,
Logit,A vector of non-normalized predictions that a classification model makes.,لوجيت,مُتَّجه للتنبؤات بدون تسوية ينشئها نموذج التصنيف.,Logit,Vecteur des prédictions non normalisées produites par un modèle de classification.,,
Logit Model,"See ""Logistic Regression.""",نموذج لوجيت,"انظر ""انحدار لوجستي"".",Modèle Logit,"Voir "" Régression logistique "".",,
Long Short-Term Memory (LSTM),A type of recurrent neural network that processes data sequences with acceptable performance for both long and short dependencies.,ذاكرة قصيرة المدى مُطَوَّلة,نوع من الشبكات العصبية التكرارية التي تعالج تسلسل البيانات بأداء مقبول لكل التوابع الطويلة والقصيرة.,Mémoire à long et court terme ,Type de réseau de neurones récurrent capable de traiter des séquences de données avec de bonnes performances sur les dépendances à court et long terme.,,
Long-Term Memory,A memory that allows a model to store information for an extended period and utilize it when generating responses.,ذاكرة طويلة المدى,ذاكرة تسمح للنموذج بتخزين المعلومات لفترة ممتدة واستخدامها عند توليد الاستجابات.,Mémoire à long terme,Mémoire permettant à un modèle de stocker des informations sur une période prolongée et de les utiliser lors de la génération de réponses.,,
Loss Curve,A graph of the model error in training iterations.,منحنى الخسارة,رسم بياني يوضح خطأ النموذج في تكرارات التدريب.,Courbe de perte,Graphique représentant l’erreur du modèle au cours des itérations d’entraînement.,,
Loss Function,"A function used to define the error between the output of an algorithm and the target value. Also called ""Cost Function.""",دالة الخسارة,"دالة تُستخدم لتحديد الخطأ بين مخرجات الخوارزمية والقيمة المستهدفة. ويُطلق عليها أيضًا ""دالة التكلفة"".",Fonction de perte,"Fonction utilisée pour mesurer l’écart entre la sortie d’un algorithme et la valeur cible. Aussi appelée "" fonction de coût "".",,
Loss Surface,A graph that represents weights versus loss.,سطح الخسارة,رسم بياني يمثل الأوزان مقابل الخسارة.,Surface de perte,Graphique représentant les poids d’un modèle en fonction de la valeur de perte.,,
Low Rank Adaptation (LoRA),A training technique for adapting models to new tasks by introducing a small number of trainable parameters instead of modifying the original entire parameters.,تَكَيُّف منخفض الرتبة,أسلوب تدريبي لتكييف النماذج مع مهام جديدة عن طريق تقديم عدد صغير من المُعامِلات القابلة للتدريب بدلًا من تعديل جميع المعاملات الأصلية.,Adaptation à rang faible ,Technique d’entraînement permettant d’adapter des modèles à de nouvelles tâches en introduisant un petit nombre de paramètres entraînables sans modifier l’ensemble du modèle original.,,
Machine Data,The data that is automatically generated by a machine.,بيانات الآلة,البيانات المُولَّدة تلقائيًّا بواسطة الآلة.,Données machine,Données générées automatiquement par une machine.,,
Machine Hearing,"See ""Machine Listening.""",سماع الآلة,"انظر ""استماع الآلة"".",Audition machine,"Voir "" Audition machine "".",,
Machine Intelligence,See “Artificial Intelligence (AI).”,ذكاء الآلة,"انظر ""ذكاء اصطناعي"".",Intelligence machine,"Voir "" Intelligence artificielle (IA) "".",,
Machine Learning (ML),A subfield of AI that focuses on enabling machines to learn from data and improve their performance on specific tasks without being explicitly programmed.,تعلُّم الآلة,مجال فرعي من الذكاء الاصطناعي يركز على تمكين الآلات من التعلُّم من البيانات وتحسين أدائها في مهام محددة دون الحاجة إلى برمجة صريحة.,Apprentissage automatique ,Sous-domaine de l’intelligence artificielle qui vise à permettre aux machines d’apprendre à partir de données et d’améliorer leurs performances sur des tâches spécifiques sans programmation explicite.,,
Machine Learning Algorithm,An algorithm that creates a machine learning model by using training data.,خوارزمية تعلُّم الآلة,خوارزمية تنشئ نماذج تعلُّم الآلة باستخدام بيانات التدريب.,Algorithme d’apprentissage automatique,Algorithme permettant de créer un modèle d’apprentissage automatique à partir de données d’entraînement.,,
Machine Learning Model,"See ""Model.""",نموذج تعلُّم الآلة,"انظر ""نموذج"".",Modèle d’apprentissage automatique,"Voir "" Modèle "".",,
Machine Learning Operations (MLOps),A set of practices and tools that automate and manage the entire machine learning lifecycle.,عمليات تعلُّم الآلة,مجموعة من الممارسات والأدوات التي تعمل على أتمتة جميع مراحل دورة حياة تعلُّم الآلة وإدارتها.,Opérations d’apprentissage automatique ,Ensemble de pratiques et d’outils permettant d’automatiser et de gérer le cycle de vie complet d’un modèle d’apprentissage automatique.,,
Machine Learning Pipeline,"A sequence of steps that automate the process of building, training, evaluating, and deploying machine learning models.",سير عمل تعلُّم الآلة,تسلسل من الخطوات التي تؤتمت عملية بناء نماذج تعلُّم الآلة وتدريبها وتقييمها ونشرها.,Pipeline d’apprentissage automatique,"Séquence d’étapes automatisant la construction, l’entraînement, l’évaluation et le déploiement de modèles d’apprentissage automatique.",,
Machine Listening,"The use of signal processing and machine learning to enable a machine to understand sounds. Also called ""Machine Hearing.""",استماع الآلة,"استخدام معالجة الإشارة وتعلُّم الآلة لتمكين الآلة من فهم الأصوات. ويُطلق عليه أيضًا ""سماع الآلة"".",Écoute machine ,"Utilisation du traitement du signal et de l’apprentissage automatique pour permettre à une machine de comprendre les sons. Aussi appelée "" audition de machine informatique"".",,
Machine Perception,The ability of a system to receive and explain data from the outside environment in a similar manner to how humans utilize their senses.,منظور الآلة,قدرة النظام على تلقي البيانات من البيئة الخارجية وتفسيرها بطريقة مماثلة لكيفية استخدام البشر حواسهم.,Perception machine,Capacité d’un système à recevoir et interpréter des données provenant de son environnement de manière analogue à la perception humaine.,,
Machine Touch,A field of machine perception concerned with processing tactile information by machine.,لمس الآلة,مجال في إدراك الآلة يهتم بمعالجة المعلومات اللمسية بواسطة الآلة.,Toucher machine,Domaine de la perception machine axé sur le traitement des informations tactiles par les machines.,,
Machine Translation,A branch of computational linguistics that is concerned with translating text or speech from one language to another.,ترجمة الآلة,فرع من اللغويات الحوسبية يهتم بترجمة النص أو الكلام من لغة إلى أخرى.,Traduction automatique,Branche de la linguistique computationnelle s’occupant de la traduction automatique de textes ou de discours d’une langue à une autre.,,
Machine Vision,"See ""Computer Vision.""",رؤية الآلة,"انظر ""رؤية الحاسب"".",Vision par ordinateur,"Voir "" Vision par ordinateur "".",,
Majority Class,The class with the most instances in a dataset.,صنف الأغلبية,الصنف الذي لديه أكبر عدد من الحالات في مجموعة البيانات.,Classe majoritaire,Classe contenant le plus grand nombre d’exemples dans un jeu de données.,,
Markov Chain,"A stochastic model that describes a sequence of possible events in which the probability of each event depends only on the previous event. Also called ""Markov Process.""",سلسلة ماركوف,"نموذج عشوائي يصف تسلسل من الأحداث المحتملة التي يعتمد فيها احتمال كل حدث على الحدث السابق فقط. ويُطلق عليه أيضًا ""عملية ماركوف"".",Chaîne de Markov,"Modèle stochastique décrivant une séquence d’événements où la probabilité de chaque événement dépend uniquement du précédent. Aussi appelée "" processus de Markov "".",,
Markov Decision Process (MDP),A discrete-time stochastic control process used for modeling decision-making in optimization problems under uncertainty.,عملية قرار ماركوف,عملية تحكم عشوائي ذات وقت منفصل تُستخدم لنمذجة صنع القرار في مشكلات التحسين عند عدم التيقن.,Processus de décision de Markov ,Processus stochastique discret utilisé pour modéliser la prise de décision dans des contextes incertains.,,
Markov Process,"See ""Markov Chain.""",عملية ماركوف,"انظر ""سلسلة ماركوف"".",Processus de Markov,"Voir "" Chaîne de Markov "".",,
Markov Property,"A concept that describes a stochastic process where the probability of future states depends only on the current state, not on the sequence of events that preceded it.",خاصية ماركوف,مفهوم يصف عملية عشوائية يعتمد فيها احتمال الحالات المستقبلية على الحالة الحالية فقط، وليس على تسلسل من الأحداث التي قبلها.,Propriété de Markov,"Concept selon lequel la probabilité des états futurs dépend uniquement de l’état actuel, sans dépendre de la séquence d’événements passée.",,
Masked Language Model,A language model for predicting the probability of candidate words to fill in blanks based on the surrounding context.,نموذج لغوي مقنَّع,نموذج لغوي للتنبؤ باحتمالية ملء الكلمات المُرشَّحة للفراغات بناءً على السياق المحيط.,Modèle de langage masqué,Modèle de langage prédisant les mots manquants dans une phrase à partir du contexte environnant.,,
Master Data,A set of identifiers and attributes that defines the main business entities and provides a context for business transactions.,بيانات رئيسة,مجموعة من المعرفات والسمات التي تحدد كيانات الأعمال الرئيسة، وتوفر سياقًا لعمليات الأعمال.,Données de référence,Ensemble d’identifiants et d’attributs définissant les principales entités d’une organisation et fournissant un contexte pour les transactions.,,
Master Data Management (MDM),The tools and processes that are used to govern and maintain master data.,إدارة البيانات الرئيسة,الأدوات والعمليات المستخدمة لحوكمة البيانات الرئيسة وصيانتها.,Gestion des données de référence ,Ensemble d’outils et de processus permettant de gouverner et de maintenir les données de référence.,,
Mathematical Optimization,"See ""Optimization.""",تحسين رياضي,"انظر ""تحسين"".",Optimisation mathématique,"Voir "" Optimisation "".",,
Matplotlib,An open-source Python plotting library used to visualize different aspects of machine learning.,ماتبلوتليب,مكتبة رسومية مفتوحة المصدر بلغة بايثون تُستخدم لتصوير جوانب مختلفة من تعلُّم الآلة.,Matplotlib,Bibliothèque Python open source utilisée pour la visualisation graphique dans le domaine de l’apprentissage automatique.,,
Matrix Factorization,A mechanism for determining which matrices have a dot product close to a target matrix.,تحليل المصفوفة إلى عوامل,آلية لإيجاد المصفوفات التي يقترب حاصل ضربها النقطي من المصفوفة المستهدفة.,Factorisation matricielle,Mécanisme permettant de déterminer les matrices dont le produit scalaire se rapproche d’une matrice cible.,,
Max-Norm Regularization,A type of regularization that constrains the maximum norm of the weight vectors in each layer of a neural network.,ضبط تسوية أقصى,نوع من الضبط يُقيِّد المعيار الأقصى لمتجهات الوزن في كل طبقة من الشبكة العصبية.,Régularisation à norme maximale ,Type de régularisation limitant la norme maximale des vecteurs de poids dans chaque couche d’un réseau neuronal.,,
Maximal Marginal Relevance (MMR),A technique that balances relevance and diversity when retrieving items.,أهمية هامشية قصوى,أسلوب يوازن بين الصلة والتنوع عند استرجاع العناصر.,Pertinence marginale maximale ,Technique équilibrant pertinence et diversité lors de la récupération d’éléments.,,
Maximum Likelihood Estimation (MLE),A method for determining the parameter values that maximize the probability of observed data.,تقدير الأرجحية الأعلى,طريقة لتحديد قيم المُعامِلات التي تزيد من احتمالية البيانات المرصودة.,Estimation du maximum de vraisemblance ,Méthode de détermination des valeurs des paramètres qui maximisent la probabilité des données observées.,,
Mean Absolute Error (MAE),A metric used to evaluate a model's accuracy by calculating the average absolute difference between the expected and predicted values for all training examples.,متوسط الخطأ المطلق,مقياس يُستخدم لتقييم دقة النموذج، عن طريق حساب متوسط الفرق المطلق بين القيم المتوقعة والتنبؤ لجميع أمثلة التدريب.,Erreur absolue moyenne ,Mesure d’évaluation d’un modèle calculant la différence absolue moyenne entre les valeurs prédites et observées pour tous les exemples d'entrainement. ,,
Mean Squared Error (MSE),"The average squared loss per example, calculated by dividing the squared loss by the number of examples.",متوسط الخطأ التربيعي,متوسط الخسارة التربيعية لكل مثال، محسوبًا بقسمة الخسارة التربيعية على عدد الأمثلة.,Erreur quadratique moyenne ,"Moyenne des carrés des erreurs, calculée en divisant la somme des pertes quadratiques par le nombre d’exemples.",,
Membership Inference Attack,An attack that aims to determine whether a data sample was used in the training of a machine learning model or not.,هجوم استنتاج العضوية,هجوم يهدف إلى تحديد ما إذا كانت عينة بيانات استُخدمت في تدريب نموذج تعلُّم الآلة أم لا.,Attaque par inférence d’appartenance,Attaque visant à déterminer si un échantillon de données a été utilisé ou non pour entraîner un modèle d’apprentissage automatique.,,
Metadata,The data that defines or describes other data.,بيانات وصفيّة,البيانات التي تُعرِّف بيانات أخرى أو تصفها.,Métadonnées,Données décrivant ou définissant d’autres données.,,
Metadata Management,"The administration of data that describes other data to ensure it is created, stored, and maintained in a standardized way.",إدارة البيانات الوصفيَّة,إدارة البيانات التي تصف البيانات الأخرى لضمان إنشائها وتخزينها وصيانتها بطريقة موحدة.,Gestion des métadonnées,"Gestion des données descriptives afin d’assurer leur création, stockage et maintien selon des normes établies.",,
Metaheuristic,A higher-level algorithmic framework that can be used to solve different optimization problems.,خوارزمية تحسين إرشادية,إطار خوارزمي عالي المستوى يمكن استخدامه لحل مشكلات التحسين المختلفة.,Métaheuristique,Cadre algorithmique de haut niveau utilisé pour résoudre divers problèmes d’optimisation.,,
Metalearning,"A subfield of machine learning used to discover or improve a learning algorithm by learning from a small amount of data or experiences from previous tasks. Also called ""Learning to learn.""",تعلُّم عملية التعلُّم,مجال فرعي من تعلُّم الآلة يُستخدم لاكتشاف خوارزمية التعلُّم أو تحسينها عن طريق التعلُّم من كمية صغيرة من البيانات أو الخبرات من المهام السابقة.,Méta-apprentissage,"Sous-domaine de l’apprentissage automatique consistant à améliorer les algorithmes d’apprentissage à partir d’expériences passées ou de petits ensembles de données. Aussi appelé "" apprendre à apprendre "".",,
Metaprompt,"A higher-level directive or set of instructions given to the model that guides how it should generate desired outputs. Also called ""System Prompt"" or ""System Message.""",أوامر وصفية,"توجيه عالي المستوى أو مجموعة من التعليمات المقدمة للنموذج لتوجيه كيفية توليد المخرجات المطلوبة. ويُطلق عليها أيضًا ""أوامر النظام"" أو ""رسائل النظام"".",Meta prompt,"Directive de haut niveau donnée à un modèle pour guider la génération de sorties souhaitées. Aussi appelée "" système de prompt"" ou "" message système "".",,
Metric,A measure to evaluate the performance of a model during training or testing.,مقياس,مقياس لتقييم أداء النموذج أثناء التدريب أو الاختبار.,Métrique,Mesure utilisée pour évaluer la performance d’un modèle pendant l’entraînement ou les tests.,,
Metric for Evaluation of Translation with Explicit Ordering (METEOR),A measure for the quality of machine translation by comparing machine-generated text with human-generated text.,مقياس ميتيور,مقياس لجودة ترجمة الآلة، عن طريق مقارنة النصوص المولدة بواسطة الآلة بالنصوص المكتوبة بواسطة الإنسان.,Métrique METEOR ,Mesure de qualité des traductions automatiques comparant les textes générés par machine avec ceux produits par des humains.,,
Mini Batch,A small subset that has been selected randomly from a batch of examples to be used in a training iteration.,حُزمة صغيرة,مجموعة فرعية صغيرة اختيرت عشوائيًّا من حُزمة أمثلة لاستخدامها في عملية التدريب.,Mini-lot ,Petit sous-ensemble de données sélectionné aléatoirement à partir d’un lot d’exemples pour une itération d’entraînement.,,
Mini-Batch Stochastic Gradient Descent (SGD),A gradient descent algorithm that divides the training dataset into small batches to estimate the gradient.,نزول تدرجي عشوائي بحُزَم صغيرة,خوارزمية نزول تدرجي تقسم بيانات التدريب إلى حُزَم صغيرة لتقدير التدرج.,Descente de gradient stochastique par mini-lots ,Algorithme de descente de gradient divisant le jeu d’entraînement en petits lots pour estimer le gradient.,,
Minimax Loss,A loss function used in generative adversarial networks (GANs) in which the generator attempts to minimize this function while the discriminator attempts to maximize it.,خسارة التقليل-التعظيم,دالة خسارة تُستخدم في شبكة توليدية تنافسية يحاول فيها المولِّد تقليل هذه الدالة، في حين يحاول المميّز تعظيمها.,Perte minimax,"Fonction de perte utilisée dans les réseaux antagonistes génératifs, où le générateur tente de la minimiser tandis que le discriminateur tente de la maximiser.",,
Minority Class,The class with the fewest instances in a dataset.,صنف الأقلية,الصنف الذي لديه أقل عدد من الحالات في مجموعة البيانات.,Classe minoritaire,Classe contenant le plus petit nombre d’exemples dans un jeu de données.,,
Misclassification Rate,A measure to determine how often a model's predictions are incorrect.,معدل خطأ التصنيف,مقياس لتحديد عدد المرات التي تكون فيها تنبؤات النموذج غير صحيحة.,Taux de mauvaise classification,Mesure indiquant la fréquence à laquelle un modèle fait des prédictions incorrectes.,,
Miss Rate,"See ""False Negative Rate (FNR).""",معدل الخطأ,"انظر ""معدل سلبي خاطئ"".",Taux de faux négatifs,"Voir "" Taux de faux négatifs (FNR) "".",,
Mixture of Experts (MoE),"A machine learning technique that splits a model into multiple sub-networks that work together on a task, each specializes in a particular subset of the input data.",خليط من الخبراء,أسلوب في تعلُّم الآلة يُقسِّم النموذج إلى شبكات فرعية متعددة تعمل معًا في مهمة ما، وتتخصص كل منها في مجموعة فرعية معينة من البيانات المُدْخَلة.,Mélange d’experts ,"Technique d’apprentissage automatique divisant un modèle en plusieurs sous-réseaux spécialisés, chacun traitant un sous-ensemble particulier des données d’entrée.",,
MNIST,A public-domain dataset containing images of handwritten digits used to train and test various supervised machine learning algorithms.,إم نيست,مجموعة بيانات عامة تشتمل على صور لأرقام مكتوبة بخط اليد تُستخدم لتدريب خوارزميات تعلُّم الآلة الموجَّه واختبارها.,Jeu de données MNIST,"Jeu de données public contenant des images de chiffres manuscrits, utilisé pour l’entraînement et le test de divers algorithmes supervisés.",,
Mobile Robot,A robot that can move around in its environment and is not fixed to a physical location.,روبوت متنقل,روبوت قادر على التحرك في بيئته، وليس مثبتًا في مكان واحد.,Robot mobile,Robot capable de se déplacer dans son environnement et non fixé à un emplacement.,,
Modality,"A general category of data such as text, images, audio, video, and numbers.",صيغة بيانات,فئة عامة للبيانات، مثل: النصوص والصور والأصوات والفيديوهات والأرقام.,Modalité,"Catégorie générale de données telles que texte, image, audio, vidéo ou numérique.",,
Model,"A representation of what a machine learning algorithm has learned from the training data. Also called ""Machine Learning Model.""",نموذج,"تمثيل لما تعلمته خوارزمية تعلُّم الآلة من بيانات التدريب. ويُطلق عليه أيضًا ""نموذج تعلُّم الآلة"".",Modèle,"Représentation de ce qu’un algorithme d’apprentissage automatique a appris à partir des données d’entraînement. Aussi appelé "" modèle d’apprentissage automatique "".",,
Model Calibration,The process of adjusting a model's predictions to match actual outcomes better and improve accuracy and reliability.,معايرة النموذج,عملية تعديل تنبؤات النموذج لتتناسب مع النتائج الفعلية بصورة أفضل، وتحسين الدقة والموثوقية.,Calibration du modèle,"Processus d’ajustement des prédictions d’un modèle afin qu’elles correspondent mieux aux résultats réels, améliorant ainsi la fiabilité.",,
Model Capacity,The ability of a model to learn complex problems.,سعة النموذج,قدرة النموذج على تعلُّم مشكلات معقدة.,Capacité du modèle,Capacité d’un modèle à apprendre des problèmes complexes.,,
Model Card,"A concise document that provides essential information about a machine learning model, including its purpose, performance, limitations, and ethical considerations.",بطاقة النموذج,وثيقة موجزة تقدم معلومات أساسية حول نموذج تعلُّم الآلة، بما في ذلك غرضه وأداؤه وقيوده واعتباراته الأخلاقية.,Fiche de modèle,"Document concis présentant les informations essentielles sur un modèle, incluant son objectif, ses performances, ses limites et les considérations éthiques.",,
Model Checking,A verification technique that determines whether a model satisfies a given specification.,فحص النموذج,أسلوب تحقق يحدد مدى مطابقة النموذج لمواصفات معينة.,Vérification de modèle,Technique de vérification permettant de déterminer si un modèle satisfait à une spécification donnée.,,
Model Collapse,"The degradation of generated data quality by AI models over time, caused by models training on data produced by AI models.",تدهور النموذج,تدهور جودة البيانات التي تولدها نماذج الذكاء الاصطناعي مع مرور الوقت؛ بسبب تدريب النماذج على بيانات أنتجتها نماذج ذكاء اصطناعي.,Effondrement de modèle,"Dégradation progressive de la qualité des données générées par des modèles d’IA, due à l’entraînement de modèles sur des données déjà produites par l’IA.",,
Model Parallelism,A technique used to speed up training or inference by dividing the model on multiple devices.,توازي النموذج,أسلوب يُستخدم لتسريع التدريب أو الاستنتاج بتقسيم النموذج على أجهزة متعددة.,Parallélisme de modèle,Technique permettant d’accélérer l’entraînement ou l’inférence en répartissant le modèle sur plusieurs dispositifs.,,
Model Temperature,A hyperparameter that controls the randomness and creativity of the model's output.,مُعامِل حرارة النموذج,مُعامِل ضبط للتحكم في العشوائية والإبداع في مخرجات النماذج.,Température du modèle,Hyperparamètre contrôlant le degré de créativité ou d’aléatoire dans les sorties d’un modèle.,,
Model Testing,The process of evaluating the performance of a fully trained model by using a testing dataset.,اختبار النموذج,عملية تقييم أداء نموذج مدرب تدريبًا كاملًا؛ وذلك باستخدام بيانات الاختبار.,Test du modèle,Processus d’évaluation des performances d’un modèle entièrement entraîné à l’aide d’un jeu de test.,,
Model Training,"See ""Training.""",تدريب النموذج,"انظر ""تدريب"".",Entraînement du modèle,"Voir "" Entraînement "".",,
Momentum,An optimization technique for gradient descent that speeds up learning by adding a percentage of the prior update vector to the current update vector.,زخم,أسلوب تحسين للنزول التدرجي يُسرِّع عملية التعلُّم، عن طريق إضافة نسبة مئوية من متجه التحديث السابق إلى متجه التحديث الحالي.,Momentum,Technique d’optimisation pour la descente de gradient qui accélère l’apprentissage en ajoutant un pourcentage du vecteur de mise à jour précédent à la mise à jour actuelle,,
Monte Carlo Tree Search (MCTS),A decision-making algorithm that finds optimal decisions in a specific domain by combining Monte Carlo simulations and a tree search approach.,بحث مونت كارلو الشجري,خوارزمية لصنع القرار تبحث عن القرارات المثلى في مجال معين، عن طريق الجمع بين محاكاة مونت كارلو وطريقة البحث الشجري.,Recherche arborescente de Monte Carlo ,Algorithme de prise de décision qui recherche des décisions optimales dans un domaine donné en combinant des simulations de Monte-Carlo avec une exploration arborescente.,,
Multi-Agent System (MAS),A system that consists of multiple agents interacting in a shared environment to achieve specific goals.,نظام متعدد الوكلاء,نظام يتكون من عدة وكلاء يتفاعلون في بيئة مشتركة لتحقيق أهداف محددة.,Système multi-agent ,Système composé de plusieurs agents interagissant dans un environnement partagé pour atteindre des objectifs spécifiques.,,
Multi-Class Classification,"A type of classification that differentiates between more than two classes. Also called ""Multinomial Classification.""",تصنيف متعدد الأصناف,"نوع من التصنيف يُميّز بين أكثر من صنفين. ويُطلق عليه أيضًا ""تصنيف متعدد الحدود"".",Classification multi-classes,"Type de classification distinguant plus de deux classes. Aussi appelée "" classification multinomiale "".",,
