English Term,English Def.,Arabic Term,Arabic Def.
Label,The answer or result part of an example in supervised learning.,اسم,جانب الإجابة أو النتيجة من مثال في التعلُّم الموجَّه.
Label Smoothing,A regularization technique used to prevent overfitting and improve the generalization capabilities of models.,تنعيم الأسماء,أسلوب ضبط يُستخدم لمنع فرط التخصيص وتحسين قدرات التعميم في النماذج.
Labeled Example,An example that has a label.,مثال مُسمًّى,مثال يشتمل على اسم.
Labeler,"See ""Annotator.""",مُسَمِّي,"انظر ""مُوَصِّف""."
Labeling,"See ""Data Annotation.""",تسمية,"انظر ""توصيف البيانات""."
Lambda,"See ""Regularization Rate.""",لامدا,"انظر ""معدل الضبط""."
Landmark,"See ""Keypoint.""",مَعلَم,"انظر ""نقطة مهمة""."
Language Model,A model that determines the probability of a given sequence of words occurring in a sentence.,نموذج لغوي,نموذج يحدد احتمالية وجود تسلسل معين من كلمات في جملة.
Language Model For Dialogue Applications (LaMDA),A large language model based on a transformer for generating conversational responses.,نموذج لغوي للتطبيقات الحوارية,نموذج لغوي كبير يعتمد على مُحوِّل لتوليد استجابات تحاورية.
Language Operations (LangOps),A set of practices and tools that enable organizations to manage the lifecycle of language models.,عمليات لغوية,مجموعة من الممارسات والأدوات التي تمكِّن المؤسسات من إدارة دورة حياة النماذج اللغوية.
Large Language Model (LLM),A language model with a high number of parameters.,نموذج لغوي كبير,نموذج لغوي مُكوَّن من عدد كبير من المُعامِلات.
Large Language Model Alignment,The process of making LLM systems act in ways that are aligned with human goals and values.,مواءمة النماذج اللغوية الكبيرة,عملية جعل أنظمة النماذج اللغوية الكبيرة تعمل بطرق تتماشى مع الأهداف والقيم الإنسانية.
Large Language Model Operations (LLMOps),A set of practices and tools for managing the lifecycle of large language models.,عمليات النماذج اللغوية الكبيرة,مجموعة من الممارسات والأدوات لإدارة دورة حياة النماذج اللغوية الكبيرة.
Latency,A delay in data transmission or processing.,تأخير,تأخير في نقل البيانات أو معالجتها.
Latent Space,A lower-dimensional representation of data that captures the essential features and relationships within the original data.,فضاء كامن,تمثيل للبيانات القليلة الأبعاد يتضمن الخصائص والعلاقات الأساسية في البيانات الأصلية.
Layer,A group of neurons in a neural network that processes the input features or the output of those neurons.,طبقة,مجموعة من الخلايا العصبية في شبكة عصبية ما، تعالج خصائص المُدْخَلات أو مخرجات تلك الخلايا العصبية.
Layer Width,The number of neurons in a specific neural network layer.,عرض الطبقة,عدد الخلايا العصبية في طبقة معينة من الشبكة العصبية.
LayerNorm Tuning,A fine-tuning technique that only updates the normalization layers of a model.,ضبط طبقات التسوية,أسلوب ضبط دقيق يقتصر تحديثه على طبقات التسوية في النموذج.
Lazy Learning,A learning method that defers the processing of training data until receiving a query.,تعلُّم كسول,طريقة تعلُّم تؤجل معالجة بيانات التدريب حتى تَلقِّي عملية استعلام.
Leaky ReLU Function,"An activation function that allows a small, non-zero gradient for negative input values.",دالة ريلو المتسربة,دالة تنشيط تسمح بتدرُّج صغير غير صفري لقيم المُدْخَلات السالبة.
Learning Rate,"A hyperparameter used in optimization algorithms to define the step size at each iteration. Also called ""Step Size.""",معدل التعلُّم,"مُعامِل ضبط يُستخدم في خوارزميات التحسين لتحديد حجم الخطوة في كل تكرار. ويُطلق عليه أيضًا ""حجم الخطوة""."
Learning Theory,See “Computational Learning Theory.”,نظرية التعلُّم,"انظر ""نظرية التعلُّم الحوسبي""."
Least Square Error (LSE),A method to find the best fit of the data to minimize the square of errors between the actual data and the fitted line.,خطأ تربيعي أقل,طريقة للعثور على أفضل ملاءمة للبيانات لتقليل مربع الأخطاء بين البيانات الفعلية وخط الملاءمة.
Least Squares Regression,A linear regression trained by reducing the L2 loss.,انحدار المربعات الصغرى,انحدار خطي مُدرَّب، عن طريق تقليل دالة خسارة إل 2.
Leave-One-Out Cross-Validation (LOOCV),A special case of K-Fold Cross-Validation where the number of folds equals the number of observations.,تحقق تقاطعي عن طريق عزل نقطة,حالة خاصة من التحقق التقاطعي المُجَزَّأ يكون فيها عدد المجموعات مساويًا لعدد المشاهدات.
Lemmatization,The process of reducing words to their base form found in the dictionary.,تجريد,عملية إعادة الكلمات إلى شكلها الأساسي الموجود في القاموس.
Likelihood,A probability of an occurrence within a specific category or class.,أرجحية,احتمال حدوث حدث ما ضمن فئة أو صنف معين.
Linear Algebra,A branch of mathematics that allows the manipulation of linear equations.,جبر خطي,فرع من فروع الرياضيات يختص بمعالجة المعادلات الخطية.
Linear Model,A way to describe a response variable as a linear combination of predictor variables.,نموذج خطي,طريقة لوصف متغير الاستجابة كمجموعة خطية من متغيرات التنبؤ.
Linear Regression,A type of statistical analysis that shows the relationship among multiple variables to create a predictive model and illustrate trends in data.,انحدار خطي,نوع من التحليل الإحصائي يوضح العلاقة بين عدة متغيرات لإنشاء نموذج تنبؤي وتوضيح الاتجاهات في البيانات.
Locally Weighted Regression (LWR),A non-parametric technique that performs regression around a point of interest using local training data.,انحدار موزون محليًّا,أسلوب غير مُعامِلي ينفذ الانحدار حول نقطة معينة باستخدام بيانات تدريب محلية.
Location Data,The data related to the geographical position of a device or other asset.,بيانات الموقع,البيانات المتعلقة بالموقع الجغرافي لجهاز ما أو أصل آخر.
Log File,"A computer-generated file that contains a record of all activities within a server, operating system, or application.",ملف سجل,ملف مُولَّد بواسطة الحاسب يشتمل على سجل لجميع الأنشطة داخل خادم أو نظام تشغيل أو تطبيق.
Log Loss,"A performance metric used to evaluate the classification models by quantifying the difference between predicted probabilities and actual labels. Also called ""Cross-Entropy Loss.""",خسارة لوغاريثمية,"مقياس أداء يُستخدم لتقييم نماذج التصنيف، عن طريق تحديد الفرق بين الاحتمالات المتوقعة والأسماء الفعلية. ويُطلق عليه أيضًا ""خسارة الإنتروبيا التقاطعية""."
Log Odds,The logarithm of odds for an event.,احتمالات لوغاريثمية,لوغاريثم احتمالات لحدث ما.
Logic Programming,A type of programming approach where the execution is based on formal logic statements.,برمجة منطقية,إحدى طُرُق البرمجة التي يعتمد التنفيذ فيها على قواعد المنطق.
Logistic Regression,"A statistical model that uses a logistic function to convert a linear model's prediction into a value between 0 and 1. Also called ""Logit Model.""",انحدار لوجستي,"نموذج إحصائي يستخدم دالة لوجستية لتحويل تنبؤ النموذج الخطي إلى قيمة بين 0 و 1. ويُطلق عليه أيضًا ""نموذج لوجيت""."
Logit,A vector of non-normalized predictions that a classification model makes.,لوجيت,مُتَّجه للتنبؤات بدون تسوية ينشئها نموذج التصنيف.
Logit Model,"See ""Logistic Regression.""",نموذج لوجيت,"انظر ""انحدار لوجستي""."
Long Short-Term Memory (LSTM),A type of recurrent neural network that processes data sequences with acceptable performance for both long and short dependencies.,ذاكرة قصيرة المدى مُطَوَّلة,نوع من الشبكات العصبية التكرارية التي تعالج تسلسل البيانات بأداء مقبول لكل التوابع الطويلة والقصيرة.
Long-Term Memory,A memory that allows a model to store information for an extended period and utilize it when generating responses.,ذاكرة طويلة المدى,ذاكرة تسمح للنموذج بتخزين المعلومات لفترة ممتدة واستخدامها عند توليد الاستجابات.
Loss Curve,A graph of the model error in training iterations.,منحنى الخسارة,رسم بياني يوضح خطأ النموذج في تكرارات التدريب.
Loss Function,"A function used to define the error between the output of an algorithm and the target value. Also called ""Cost Function.""",دالة الخسارة,"دالة تُستخدم لتحديد الخطأ بين مخرجات الخوارزمية والقيمة المستهدفة. ويُطلق عليها أيضًا ""دالة التكلفة""."
Loss Surface,A graph that represents weights versus loss.,سطح الخسارة,رسم بياني يمثل الأوزان مقابل الخسارة.
Low Rank Adaptation (LoRA),A training technique for adapting models to new tasks by introducing a small number of trainable parameters instead of modifying the original entire parameters.,تَكَيُّف منخفض الرتبة,أسلوب تدريبي لتكييف النماذج مع مهام جديدة عن طريق تقديم عدد صغير من المُعامِلات القابلة للتدريب بدلًا من تعديل جميع المعاملات الأصلية.
Machine Data,The data that is automatically generated by a machine.,بيانات الآلة,البيانات المُولَّدة تلقائيًّا بواسطة الآلة.
Machine Hearing,"See ""Machine Listening.""",سماع الآلة,"انظر ""استماع الآلة""."
Machine Intelligence,See “Artificial Intelligence (AI).”,ذكاء الآلة,"انظر ""ذكاء اصطناعي""."
Machine Learning (ML),A subfield of AI that focuses on enabling machines to learn from data and improve their performance on specific tasks without being explicitly programmed.,تعلُّم الآلة,مجال فرعي من الذكاء الاصطناعي يركز على تمكين الآلات من التعلُّم من البيانات وتحسين أدائها في مهام محددة دون الحاجة إلى برمجة صريحة.
Machine Learning Algorithm,An algorithm that creates a machine learning model by using training data.,خوارزمية تعلُّم الآلة,خوارزمية تنشئ نماذج تعلُّم الآلة باستخدام بيانات التدريب.
Machine Learning Model,"See ""Model.""",نموذج تعلُّم الآلة,"انظر ""نموذج""."
Machine Learning Operations (MLOps),A set of practices and tools that automate and manage the entire machine learning lifecycle.,عمليات تعلُّم الآلة,مجموعة من الممارسات والأدوات التي تعمل على أتمتة جميع مراحل دورة حياة تعلُّم الآلة وإدارتها.
Machine Learning Pipeline,"A sequence of steps that automate the process of building, training, evaluating, and deploying machine learning models.",سير عمل تعلُّم الآلة,تسلسل من الخطوات التي تؤتمت عملية بناء نماذج تعلُّم الآلة وتدريبها وتقييمها ونشرها.
Machine Listening,"The use of signal processing and machine learning to enable a machine to understand sounds. Also called ""Machine Hearing.""",استماع الآلة,"استخدام معالجة الإشارة وتعلُّم الآلة لتمكين الآلة من فهم الأصوات. ويُطلق عليه أيضًا ""سماع الآلة""."
Machine Perception,The ability of a system to receive and explain data from the outside environment in a similar manner to how humans utilize their senses.,منظور الآلة,قدرة النظام على تلقي البيانات من البيئة الخارجية وتفسيرها بطريقة مماثلة لكيفية استخدام البشر حواسهم.
Machine Touch,A field of machine perception concerned with processing tactile information by machine.,لمس الآلة,مجال في إدراك الآلة يهتم بمعالجة المعلومات اللمسية بواسطة الآلة.
Machine Translation,A branch of computational linguistics that is concerned with translating text or speech from one language to another.,ترجمة الآلة,فرع من اللغويات الحوسبية يهتم بترجمة النص أو الكلام من لغة إلى أخرى.
Machine Vision,"See ""Computer Vision.""",رؤية الآلة,"انظر ""رؤية الحاسب""."
Majority Class,The class with the most instances in a dataset.,صنف الأغلبية,الصنف الذي لديه أكبر عدد من الحالات في مجموعة البيانات.
Markov Chain,"A stochastic model that describes a sequence of possible events in which the probability of each event depends only on the previous event. Also called ""Markov Process.""",سلسلة ماركوف,"نموذج عشوائي يصف تسلسل من الأحداث المحتملة التي يعتمد فيها احتمال كل حدث على الحدث السابق فقط. ويُطلق عليه أيضًا ""عملية ماركوف""."
Markov Decision Process (MDP),A discrete-time stochastic control process used for modeling decision-making in optimization problems under uncertainty.,عملية قرار ماركوف,عملية تحكم عشوائي ذات وقت منفصل تُستخدم لنمذجة صنع القرار في مشكلات التحسين عند عدم التيقن.
Markov Process,"See ""Markov Chain.""",عملية ماركوف,"انظر ""سلسلة ماركوف""."
Markov Property,"A concept that describes a stochastic process where the probability of future states depends only on the current state, not on the sequence of events that preceded it.",خاصية ماركوف,مفهوم يصف عملية عشوائية يعتمد فيها احتمال الحالات المستقبلية على الحالة الحالية فقط، وليس على تسلسل من الأحداث التي قبلها.
Masked Language Model,A language model for predicting the probability of candidate words to fill in blanks based on the surrounding context.,نموذج لغوي مقنَّع,نموذج لغوي للتنبؤ باحتمالية ملء الكلمات المُرشَّحة للفراغات بناءً على السياق المحيط.
Master Data,A set of identifiers and attributes that defines the main business entities and provides a context for business transactions.,بيانات رئيسة,مجموعة من المعرفات والسمات التي تحدد كيانات الأعمال الرئيسة، وتوفر سياقًا لعمليات الأعمال.
Master Data Management (MDM),The tools and processes that are used to govern and maintain master data.,إدارة البيانات الرئيسة,الأدوات والعمليات المستخدمة لحوكمة البيانات الرئيسة وصيانتها.
Mathematical Optimization,"See ""Optimization.""",تحسين رياضي,"انظر ""تحسين""."
Matplotlib,An open-source Python plotting library used to visualize different aspects of machine learning.,ماتبلوتليب,مكتبة رسومية مفتوحة المصدر بلغة بايثون تُستخدم لتصوير جوانب مختلفة من تعلُّم الآلة.
Matrix Factorization,A mechanism for determining which matrices have a dot product close to a target matrix.,تحليل المصفوفة إلى عوامل,آلية لإيجاد المصفوفات التي يقترب حاصل ضربها النقطي من المصفوفة المستهدفة.
Max-Norm Regularization,A type of regularization that constrains the maximum norm of the weight vectors in each layer of a neural network.,ضبط تسوية أقصى,نوع من الضبط يُقيِّد المعيار الأقصى لمتجهات الوزن في كل طبقة من الشبكة العصبية.
Maximal Marginal Relevance (MMR),A technique that balances relevance and diversity when retrieving items.,أهمية هامشية قصوى,أسلوب يوازن بين الصلة والتنوع عند استرجاع العناصر.
Maximum Likelihood Estimation (MLE),A method for determining the parameter values that maximize the probability of observed data.,تقدير الأرجحية الأعلى,طريقة لتحديد قيم المُعامِلات التي تزيد من احتمالية البيانات المرصودة.
Mean Absolute Error (MAE),A metric used to evaluate a model's accuracy by calculating the average absolute difference between the expected and predicted values for all training examples.,متوسط الخطأ المطلق,مقياس يُستخدم لتقييم دقة النموذج، عن طريق حساب متوسط الفرق المطلق بين القيم المتوقعة والتنبؤ لجميع أمثلة التدريب.
Mean Squared Error (MSE),"The average squared loss per example, calculated by dividing the squared loss by the number of examples.",متوسط الخطأ التربيعي,متوسط الخسارة التربيعية لكل مثال، محسوبًا بقسمة الخسارة التربيعية على عدد الأمثلة.
Membership Inference Attack,An attack that aims to determine whether a data sample was used in the training of a machine learning model or not.,هجوم استنتاج العضوية,هجوم يهدف إلى تحديد ما إذا كانت عينة بيانات استُخدمت في تدريب نموذج تعلُّم الآلة أم لا.
Metadata,The data that defines or describes other data.,بيانات وصفيّة,البيانات التي تُعرِّف بيانات أخرى أو تصفها.
Metadata Management,"The administration of data that describes other data to ensure it is created, stored, and maintained in a standardized way.",إدارة البيانات الوصفيَّة,إدارة البيانات التي تصف البيانات الأخرى لضمان إنشائها وتخزينها وصيانتها بطريقة موحدة.
Metaheuristic,A higher-level algorithmic framework that can be used to solve different optimization problems.,خوارزمية تحسين إرشادية,إطار خوارزمي عالي المستوى يمكن استخدامه لحل مشكلات التحسين المختلفة.
Metalearning,"A subfield of machine learning used to discover or improve a learning algorithm by learning from a small amount of data or experiences from previous tasks. Also called ""Learning to learn.""",تعلُّم عملية التعلُّم,مجال فرعي من تعلُّم الآلة يُستخدم لاكتشاف خوارزمية التعلُّم أو تحسينها عن طريق التعلُّم من كمية صغيرة من البيانات أو الخبرات من المهام السابقة.
Metaprompt,"A higher-level directive or set of instructions given to the model that guides how it should generate desired outputs. Also called ""System Prompt"" or ""System Message.""",أوامر وصفية,"توجيه عالي المستوى أو مجموعة من التعليمات المقدمة للنموذج لتوجيه كيفية توليد المخرجات المطلوبة. ويُطلق عليها أيضًا ""أوامر النظام"" أو ""رسائل النظام""."
Metric,A measure to evaluate the performance of a model during training or testing.,مقياس,مقياس لتقييم أداء النموذج أثناء التدريب أو الاختبار.
Metric for Evaluation of Translation with Explicit Ordering (METEOR),A measure for the quality of machine translation by comparing machine-generated text with human-generated text.,مقياس ميتيور,مقياس لجودة ترجمة الآلة، عن طريق مقارنة النصوص المولدة بواسطة الآلة بالنصوص المكتوبة بواسطة الإنسان.
Mini Batch,A small subset that has been selected randomly from a batch of examples to be used in a training iteration.,حُزمة صغيرة,مجموعة فرعية صغيرة اختيرت عشوائيًّا من حُزمة أمثلة لاستخدامها في عملية التدريب.
Mini-Batch Stochastic Gradient Descent (SGD),A gradient descent algorithm that divides the training dataset into small batches to estimate the gradient.,نزول تدرجي عشوائي بحُزَم صغيرة,خوارزمية نزول تدرجي تقسم بيانات التدريب إلى حُزَم صغيرة لتقدير التدرج.
Minimax Loss,A loss function used in generative adversarial networks (GANs) in which the generator attempts to minimize this function while the discriminator attempts to maximize it.,خسارة التقليل-التعظيم,دالة خسارة تُستخدم في شبكة توليدية تنافسية يحاول فيها المولِّد تقليل هذه الدالة، في حين يحاول المميّز تعظيمها.
Minority Class,The class with the fewest instances in a dataset.,صنف الأقلية,الصنف الذي لديه أقل عدد من الحالات في مجموعة البيانات.
Misclassification Rate,A measure to determine how often a model's predictions are incorrect.,معدل خطأ التصنيف,مقياس لتحديد عدد المرات التي تكون فيها تنبؤات النموذج غير صحيحة.
Miss Rate,"See ""False Negative Rate (FNR).""",معدل الخطأ,"انظر ""معدل سلبي خاطئ""."
Mixture of Experts (MoE),"A machine learning technique that splits a model into multiple sub-networks that work together on a task, each specializes in a particular subset of the input data.",خليط من الخبراء,أسلوب في تعلُّم الآلة يُقسِّم النموذج إلى شبكات فرعية متعددة تعمل معًا في مهمة ما، وتتخصص كل منها في مجموعة فرعية معينة من البيانات المُدْخَلة.
MNIST,A public-domain dataset containing images of handwritten digits used to train and test various supervised machine learning algorithms.,إم نيست,مجموعة بيانات عامة تشتمل على صور لأرقام مكتوبة بخط اليد تُستخدم لتدريب خوارزميات تعلُّم الآلة الموجَّه واختبارها.
Mobile Robot,A robot that can move around in its environment and is not fixed to a physical location.,روبوت متنقل,روبوت قادر على التحرك في بيئته، وليس مثبتًا في مكان واحد.
Modality,"A general category of data such as text, images, audio, video, and numbers.",صيغة بيانات,فئة عامة للبيانات، مثل: النصوص والصور والأصوات والفيديوهات والأرقام.
Model,"A representation of what a machine learning algorithm has learned from the training data. Also called ""Machine Learning Model.""",نموذج,"تمثيل لما تعلمته خوارزمية تعلُّم الآلة من بيانات التدريب. ويُطلق عليه أيضًا ""نموذج تعلُّم الآلة""."
Model Calibration,The process of adjusting a model's predictions to match actual outcomes better and improve accuracy and reliability.,معايرة النموذج,عملية تعديل تنبؤات النموذج لتتناسب مع النتائج الفعلية بصورة أفضل، وتحسين الدقة والموثوقية.
Model Capacity,The ability of a model to learn complex problems.,سعة النموذج,قدرة النموذج على تعلُّم مشكلات معقدة.
Model Card,"A concise document that provides essential information about a machine learning model, including its purpose, performance, limitations, and ethical considerations.",بطاقة النموذج,وثيقة موجزة تقدم معلومات أساسية حول نموذج تعلُّم الآلة، بما في ذلك غرضه وأداؤه وقيوده واعتباراته الأخلاقية.
Model Checking,A verification technique that determines whether a model satisfies a given specification.,فحص النموذج,أسلوب تحقق يحدد مدى مطابقة النموذج لمواصفات معينة.
Model Collapse,"The degradation of generated data quality by AI models over time, caused by models training on data produced by AI models.",تدهور النموذج,تدهور جودة البيانات التي تولدها نماذج الذكاء الاصطناعي مع مرور الوقت؛ بسبب تدريب النماذج على بيانات أنتجتها نماذج ذكاء اصطناعي.
Model Parallelism,A technique used to speed up training or inference by dividing the model on multiple devices.,توازي النموذج,أسلوب يُستخدم لتسريع التدريب أو الاستنتاج بتقسيم النموذج على أجهزة متعددة.
Model Temperature,A hyperparameter that controls the randomness and creativity of the model's output.,مُعامِل حرارة النموذج,مُعامِل ضبط للتحكم في العشوائية والإبداع في مخرجات النماذج.
Model Testing,The process of evaluating the performance of a fully trained model by using a testing dataset.,اختبار النموذج,عملية تقييم أداء نموذج مدرب تدريبًا كاملًا؛ وذلك باستخدام بيانات الاختبار.
Model Training,"See ""Training.""",تدريب النموذج,"انظر ""تدريب""."
Momentum,An optimization technique for gradient descent that speeds up learning by adding a percentage of the prior update vector to the current update vector.,زخم,أسلوب تحسين للنزول التدرجي يُسرِّع عملية التعلُّم، عن طريق إضافة نسبة مئوية من متجه التحديث السابق إلى متجه التحديث الحالي.
Monte Carlo Tree Search (MCTS),A decision-making algorithm that finds optimal decisions in a specific domain by combining Monte Carlo simulations and a tree search approach.,بحث مونت كارلو الشجري,خوارزمية لصنع القرار تبحث عن القرارات المثلى في مجال معين، عن طريق الجمع بين محاكاة مونت كارلو وطريقة البحث الشجري.
Multi-Agent System (MAS),A system that consists of multiple agents interacting in a shared environment to achieve specific goals.,نظام متعدد الوكلاء,نظام يتكون من عدة وكلاء يتفاعلون في بيئة مشتركة لتحقيق أهداف محددة.
Multi-Class Classification,"A type of classification that differentiates between more than two classes. Also called ""Multinomial Classification.""",تصنيف متعدد الأصناف,"نوع من التصنيف يُميّز بين أكثر من صنفين. ويُطلق عليه أيضًا ""تصنيف متعدد الحدود""."
Multi-Class Logistic Regression,"The use of logistic regression for classification problems with multiple classes. Also called ""Multinomial Regression.""",انحدار لوجستي متعدد الأصناف,"استخدام الانحدار اللوجستي لمشكلات التصنيف ذات الأصناف المتعددة. ويُطلق عليه أيضًا ""انحدار متعدد الحدود""."
Multi-Head Self-Attention,A self-attention mechanism that operates multiple attentions in parallel to focus on different positions within input data sequences.,انتباه ذاتي متعدد الرؤوس,آلية انتباه ذاتي تُشغِّل انتباهات متعددة بالتوازي للتركيز على مواضع مختلفة من تسلسلات البيانات المُدْخَلة.
Multi-layer Neural Network,A neural network that has more than one layer of artificial neurons or nodes.,شبكة عصبية متعددة الطبقات,شبكة عصبية تشتمل على أكثر من طبقة من الخلايا العصبية أو العُقَد الاصطناعية.
Multi-model Database,"A database that is designed to support multiple data models (such as relationals, documents, and graphs) within a single integrated system.",قاعدة بيانات متعددة النماذج,قاعدة بيانات مصممة لدعم نماذج بيانات متعددة (مثل: الجداول، والمستندات، والشبكات) ضمن نظام متكامل واحد.
Multi-structured Analytics,"The process of analyzing data that comes in various forms, including structured, semi-structured, and unstructured formats.",تحليلات متعددة الهياكل,عملية تحليل البيانات ذات الأشكال المختلفة، بما في ذلك الصيغ المهيكلة وشبه المهيكلة وغير المهيكلة.
Multi-Swarm Optimization,A variant of particle swarm optimization (PSO) that estimates the solution for complex problems using multiple swarms instead of a single swarm.,تحسين متعدد الأسراب,نوع من تحسين سرب الجسيمات يُقدّر الحل للمشكلات المعقدة باستخدام أسراب متعددة بدلًا من سرب واحد.
Multi-Task Learning,A training technique where a model is trained on multiple tasks simultaneously to improve its performance.,تعلُّم متعدد المهام,أسلوب لتدريب النموذج على مهام متعددة في وقت واحد لتحسين أدائه.
Multimodal Model,A model that has inputs or outputs with multiple modalities.,نموذج متعدد الصيغ,نموذج له مُدْخَلات أو مخرجات بصيغ متعددة.
Multimodal Prompt,"A type of prompt that incorporates multiple types of data, such as text and images, to guide model responses.",أمر متعدد الصيغ,نوع من الأوامر يتضمن أنواعًا متعددة من البيانات، مثل النصوص والصور، لتوجيه استجابات النموذج.
Multinomial Classification,"See ""Multi-Class Classification.""",تصنيف متعدد الحدود,"انظر ""تصنيف متعدد الأصناف""."
Multinomial Regression,"See ""Multi-Class Logistic Regression.""",انحدار متعدد الحدود,"انظر ""انحدار لوجستي متعدد الأصناف""."
Multitask Prompt Tuning (MPT),A technique for adapting a model to multiple tasks by learning a single prompt that can be transferred to target tasks.,ضبط الأوامر المتعددة المهام,أسلوب لتكييف نموذج ما لمهام متعددة، عن طريق تعلُّم أمر واحد يمكن نقله إلى المهام المستهدفة.
N-Gram,A sequence of N items in a text.,ن-وحدة,تسلسل من عدد (ن) عنصر في نص.
Naive Bayes Classifier,A probabilistic classifier based on Bayes' Theorem for analyzing and categorizing data.,مُصنِّف بايز البسيط,مُصنِّف احتمالي يعتمد على نظرية بايز لتحليل البيانات وتصنيفها.
Naive Semantics,An approach to represent basic knowledge about a particular domain.,دلالات بسيطة,طريقة لتمثيل المعرفة الأساسية حول مجال معين.
Named-Entity Recognition (NER),The process of identifying the names of entities and their categories in text or speech.,تعرُّف على الكيانات المُسمّاة,عملية تحديد أسماء الكيانات وفئاتها في النص أو الكلام.
NaN Trap,"A situation when a number in a model becomes ""Not a Number"" during the training process, causing other numbers to become ""Not a Number.""",فخ القيم غير العددية,حالة يصبح فيها عدد في نموذج ما قيمة غير عددية أثناء عملية التدريب؛ وبسببه تصبح الأعداد الأخرى قيمًا غير عددية.
Narrow Artificial Intelligence (NAI),"See ""Artificial Narrow Intelligence (ANI).”",ذكاء اصطناعي ضيق,"انظر ""ذكاء ضيق اصطناعي""."
Natural Language,"A human language that can be expressed in text, speech, or sign.",لغة طبيعية,لغة بشرية يمكن التعبير عنها بنص أو كلام أو إشارة.
Natural Language Generation (NLG),A process of converting structured data into natural language.,توليد اللغات الطبيعية,عملية تحويل البيانات المهيكلة إلى لغة طبيعية.
Natural Language Processing (NLP),A branch of artificial intelligence concerned with understanding or generating human language in either text or speech form.,معالجة اللغات الطبيعية,فرع من فروع الذكاء الاصطناعي يهتم بفهم أو توليد اللغة البشرية سواءٌ كانت على شكل نص أو كلام.
Natural Language Query (NLQ),The use of natural language to formulate queries that can be processed and understood by a computer system.,استعلام باللغة الطبيعية,استخدام اللغة الطبيعية لصياغة الاستعلامات التي يمكن لأنظمة الحاسب معالجتها وفهمها.
Natural Language Understanding (NLU),A subfield of natural language processing (NLP) concerned with building machines capable of comprehending the natural human language.,فهم اللغات الطبيعية,مجال فرعي من معالجة اللغات الطبيعية يهتم ببناء آلات قادرة على فهم لغة الإنسان الطبيعية.
Negative Class,A class in a binary classification that represents the other possibility of a test.,صنف سلبي,صنف من صنفي التصنيف الثنائي يمثل الاحتمال الآخر للاختبار.
Negative Predictive Value (NPV),The proportion of predicted negative results that are true negative results.,قيمة تنبؤية سلبية,نسبة النتائج السلبية المتوقعة التي تُعد سلبية صحيحة.
Neural Machine Translation (NMT),"An approach in machine translation that uses a large artificial neural network to predict the probability of a sequence of words, often in complete sentences.",ترجمة الآلة العصبية,طريقة في ترجمة الآلة تستخدم شبكة عصبية اصطناعية كبيرة للتنبؤ باحتمالية تسلسل من الكلمات، وغالبًا ما تكون في جمل كاملة.
Neural Network (NN),See “Artificial Neural Network (ANN).”,شبكة عصبية,"انظر ""شبكة عصبية اصطناعية""."
Neural Processing Unit (NPU),A processor that is specially designed to accelerate neural networks computation.,وحدة معالجة عصبية,معالج مصمم خصيصًا لتسريع عمليات حساب الشبكات العصبية.
Neural Turing Machine (NTM),A neural network architecture that combines traditional neural networks with external memory resources.,آلة تورينج العصبية,معمارية شبكة عصبية تجمع بين الشبكات العصبية التقليدية وموارد الذاكرة الخارجية.
Neuromorphic Chip,A type of computer chip that acts as a neural network to improve the performance of AI applications.,رقاقة عصبية,نوع من رقائق الحاسب التي تعمل كشبكة عصبية لتحسين أداء تطبيقات الذكاء الاصطناعي.
Neuromorphic Computing,"A computing approach that emulates the human brain by using special algorithms and hardware to improve power efficiency and computation speed. Also called ""Neuromorphic Engineering.""",حوسبة عصبية,"طريقة حوسبية تحاكي الدماغ البشري باستخدام خوارزميات وأجهزة خاصة لتحسين كفاءة الطاقة وسرعة الحوسبة. ويُطلق عليها أيضًا ""هندسة عصبية""."
Neuromorphic Engineering,"See ""Neuromorphic Computing.""",هندسة عصبية,"انظر ""حوسبة عصبية""."
Neuron,"A neural network node that processes multiple input values and produces a single output value. Also called ""Artificial Neuron"" or ""Node.""",خلية عصبية,"عقدة في الشبكة العصبية تعالج قيم مُدْخَلات متعددة، وينتج منها قيمة مخرج واحد. يُطلق عليها أيضًا ""خلية عصبية اصطناعية"" أو ""عقدة""."
Node,"See ""Neuron.""",عقدة,"انظر ""خلية عصبية""."
Noise (or Noisy Data),A meaningless data that affects the data analysis.,تشويش (أو بيانات مشوِّشة),بيانات لا معنى لها تؤثِّر في تحليل البيانات.
Non-Maximum Suppression (NMS),"A technique used in object detection to eliminate redundant or overlapping bounding boxes, keeping only one for each detected object.",إزالة غير الأكبر,أسلوب يُستخدم في اكتشاف الأشياء لإزالة إطارات التحديد المتكررة أو المتداخلة، مع الاحتفاظ بمربع واحد فقط لكل شيء مكتشَف.
Non-Parametric Model,A machine learning model that does not make specific assumptions about the form of the mapping function and does not assume a finite set of parameters.,نموذج غير مُعامِلي,نموذج تعلُّم آلة لا يضع افتراضات محددة حول شكل دالة التعيين، ولا يفترض مجموعة محدودة من المُعامِلات.
Non-Relational Database,A database that does not use a relational model.,قاعدة بيانات غير علائقية,قاعدة بيانات لا تستخدم نموذجًا علائقيًّا.
